company_id,year,return_on_equity_pct
BAJAJFINSV,2018,20.39
BAJFINANCE,2019,20.28
ICICIGI,2015,20.27
MARUTI,2017,20.26
M&M,2023,20.18
HAVELLS,2021,20.17
HINDUNILVR,2023,20.16
PIDILITIND,2021,20.13
TORNTPHARM,2023,20.09
TECHM,2018,20.09
TECHM,2018,20.09
SBILIFE,2015,20.09
HINDUNILVR,2024,20.07
NESTLEIND,2015,19.99
ABB,2017,19.97
IOC,2017,19.97
ABB,2017,19.97
SHRIRAMFIN,2013,19.94
HAVELLS,2022,19.92
IOC,2018,19.87
ADANIPORTS,2014,19.86
ADANIPORTS,2014,19.86
PFC,2014,19.85
HDFCBANK,2014,19.85
BOSCHLTD,2017,19.79
DIVISLAB,2017,19.79
MOTHERSON,2013,19.75
DRREDDY,2024,19.74
TVSMOTOR,2020,19.71
RECLTD,2016,19.7
APOLLOHOSP,2022,19.7
RECLTD,2022,19.56
GODREJCP,2016,19.48
ICICIGI,2020,19.47
IOC,2021,19.46
DIVISLAB,2019,19.45
EICHERMOT,2023,19.44
ICICIGI,2019,19.43
ICICIGI,2021,19.38
DRREDDY,2023,19.35
GAIL,2020,19.31
CHOLAFIN,2019,19.28
IOC,2022,19.27
TITAN,2016,19.25
GRASIM,2013,19.22
RECLTD,2023,19.21
GAIL,2022,19.19
PFC,2020,19.18
BAJAJFINSV,2020,19.15
MOTHERSON,2019,19.14
RECLTD,2021,19.14
BAJFINANCE,2017,19.13
HEROMOTOCO,2021,19.05
HDFCLIFE,2020,19.05
ONGC,2022,19.0
JINDALSTEL,2022,18.99
ICICIGI,2018,18.98
DABUR,2023,18.96
GODREJCP,2020,18.95
ICICIGI,2013,18.88
ADANIENSOL,2018,18.87
PIDILITIND,2022,18.85
HDFCBANK,2013,18.84
BAJFINANCE,2024,18.84
DIVISLAB,2020,18.84
HAVELLS,2019,18.77
RECLTD,2017,18.75
PFC,2013,18.74
ADANIGREEN,2022,18.71
BAJFINANCE,2015,18.71
HCLTECH,2021,18.64
SHRIRAMFIN,2018,18.62
CHOLAFIN,2023,18.58
POWERGRID,2023,18.57
POWERGRID,2023,18.57
M&M,2024,18.54
PFC,2015,18.52
MARUTI,2018,18.52
DABUR,2024,18.36
EICHERMOT,2020,18.3
CHOLAFIN,2022,18.3
GODREJCP,2021,18.23
BOSCHLTD,2015,18.21
HINDUNILVR,2022,18.12
JSWENERGY,2015,18.06
ICICIGI,2017,18.0
ICICIBANK,2024,17.99
MARUTI,2016,17.95
BAJAJHLDNG,2013,17.94
CHOLAFIN,2018,17.91
POWERGRID,2024,17.87
PIDILITIND,2023,17.87
TECHM,2020,17.87
TECHM,2020,17.87
POWERGRID,2024,17.87
SBILIFE,2016,17.83
BAJAJ-AUTO,2021,17.81
BAJAJ-AUTO,2021,17.81
HAVELLS,2018,17.72
SIEMENS,2024,17.7
LODHA,2016,17.69
DMART,2015,17.67
ADANIPORTS,2018,17.65
ADANIPORTS,2018,17.65
ULTRACEMCO,2013,17.65
SBILIFE,2018,17.62
HINDALCO,2022,17.56
SBILIFE,2019,17.52
TECHM,2021,17.51
BOSCHLTD,2019,17.51
TECHM,2021,17.51
CHOLAFIN,2024,17.46
TECHM,2023,17.39
TECHM,2023,17.39
SHREECEM,2017,17.39
TECHM,2017,17.35
TECHM,2017,17.35
DMART,2018,17.26
HDFCBANK,2016,17.25
BAJFINANCE,2016,17.22
POWERGRID,2021,17.21
POWERGRID,2021,17.21
SBILIFE,2017,17.2
BOSCHLTD,2012,17.19
PFC,2016,17.16
SUNPHARMA,2016,17.15
CIPLA,2013,17.13
POWERGRID,2020,17.09
POWERGRID,2020,17.09
HAVELLS,2024,17.07
HAVELLS,2020,17.05
POWERGRID,2019,16.98
POWERGRID,2019,16.98
HDFCBANK,2015,16.95
DRREDDY,2016,16.95
ONGC,2024,16.94
HDFCBANK,2018,16.94
INDUSINDBK,2015,16.85
JSWSTEEL,2021,16.84
DMART,2014,16.84
HEROMOTOCO,2023,16.81
HINDUNILVR,2021,16.78
CANBK,2024,16.72
CHOLAFIN,2017,16.71
SHREECEM,2014,16.71
HDFCBANK,2017,16.69
